,,Male,,,,,,,,,,Female,,,,,,,,,
,,"Recoded detailed race code (Note: due to space restrictions, some labels may be truncated.) (RAC1P)",,,,,,,,,,"Recoded detailed race code (Note: due to space restrictions, some labels may be truncated.) (RAC1P)",,,,,,,,,
Age (AGEP),Total,"Total Recoded detailed race code (Note: due to space restrictions, some labels may be truncated.) (RAC1P)",White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,"Total Recoded detailed race code (Note: due to space restrictions, some labels may be truncated.) (RAC1P)",White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
74 years,49,24,24,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0
75 years,45,24,18,5,0,0,0,1,0,0,0,21,21,0,0,0,0,0,0,0,0
76 years,37,16,15,0,0,0,0,1,0,0,0,21,20,1,0,0,0,0,0,0,0
77 years,37,15,14,0,1,0,0,0,0,0,0,22,21,0,0,0,0,1,0,0,0
78 years,33,17,17,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0
79 years,17,10,10,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0
80 years,20,10,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0
81 years,32,13,13,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0
82 years,25,12,11,0,0,0,0,0,0,0,1,13,12,0,0,0,0,1,0,0,0
83 years,12,4,4,0,0,0,0,0,0,0,0,8,7,0,0,0,0,1,0,0,0
84 years,13,8,8,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0
85 years,16,8,8,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0
86 Years (may be topcoded),19,7,7,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0
87 Years (may be topcoded),12,4,4,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0
88 Years (may be topcoded),12,6,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
89 Years (may be topcoded),13,7,7,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
90 Years (may be topcoded),7,1,1,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
91 Years (may be topcoded),9,2,2,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0
92 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94 Years (may be topcoded),20,9,8,1,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0
95 Years (may be topcoded),8,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
96 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" -> Total -> Total Middlesex County (Outside Lowell City) PUMA, Massachusetts",4739,2304,2087,25,0,0,0,153,1,12,26,2435,2183,24,1,0,0,185,0,11,31
18 years,67,37,33,1,0,0,0,2,0,0,1,30,23,0,0,0,0,2,0,1,4
19 years,51,27,26,1,0,0,0,0,0,0,0,24,22,0,0,0,0,1,0,0,1
20 years,52,31,30,0,0,0,0,1,0,0,0,21,20,0,0,0,0,1,0,0,0
21 years,56,35,32,2,0,0,0,1,0,0,0,21,20,0,0,0,0,0,0,1,0
22 years,57,27,26,0,0,0,0,1,0,0,0,30,30,0,0,0,0,0,0,0,0
23 years,67,36,33,0,0,0,0,1,0,0,2,31,26,0,0,0,0,4,0,0,1
24 years,74,37,36,1,0,0,0,0,0,0,0,37,34,0,0,0,0,1,0,0,2
25 years,54,30,26,1,0,0,0,3,0,0,0,24,22,0,0,0,0,2,0,0,0
26 years,61,26,24,1,0,0,0,1,0,0,0,35,32,0,0,0,0,2,0,1,0
27 years,55,29,25,0,0,0,0,3,0,1,0,26,23,1,0,0,0,1,0,0,1
28 years,51,24,22,0,0,0,0,1,0,1,0,27,22,0,0,0,0,4,0,0,1
29 years,45,28,25,0,0,0,0,3,0,0,0,17,14,1,0,0,0,2,0,0,0
30 years,74,37,37,0,0,0,0,0,0,0,0,37,30,1,0,0,0,3,0,2,1
31 years,54,23,22,1,0,0,0,0,0,0,0,31,23,2,0,0,0,5,0,0,1
32 years,73,36,30,3,0,0,0,3,0,0,0,37,32,0,0,0,0,4,0,0,1
33 years,52,28,25,1,0,0,0,2,0,0,0,24,22,0,0,0,0,2,0,0,0
34 years,64,34,31,0,0,0,0,2,0,1,0,30,24,1,0,0,0,5,0,0,0
35 years,66,32,25,1,0,0,0,5,0,0,1,34,27,2,0,0,0,4,0,0,1
36 years,59,31,25,1,0,0,0,5,0,0,0,28,24,0,0,0,0,4,0,0,0
37 years,64,37,29,0,0,0,0,5,0,1,2,27,22,0,0,0,0,5,0,0,0
38 years,74,25,21,0,0,0,0,4,0,0,0,49,36,1,0,0,0,10,0,0,2
39 years,74,37,30,0,0,0,0,7,0,0,0,37,27,0,0,0,0,9,0,0,1
40 years,76,41,32,0,0,0,0,6,0,2,1,35,29,0,0,0,0,5,0,0,1
41 years,74,38,28,0,0,0,0,9,0,0,1,36,30,0,0,0,0,5,0,0,1
42 years,62,26,23,0,0,0,0,2,0,0,1,36,33,1,0,0,0,2,0,0,0
43 years,85,37,34,0,0,0,0,3,0,0,0,48,39,0,0,0,0,6,0,2,1
44 years,89,44,34,0,0,0,0,8,0,0,2,45,33,0,0,0,0,9,0,1,2
45 years,79,41,35,0,0,0,0,4,0,1,1,38,32,1,0,0,0,5,0,0,0
46 years,80,33,31,0,0,0,0,2,0,0,0,47,40,0,0,0,0,5,0,0,2
47 years,88,45,39,2,0,0,0,3,0,1,0,43,40,1,0,0,0,2,0,0,0
48 years,94,45,39,0,0,0,0,4,0,0,2,49,45,0,0,0,0,4,0,0,0
49 years,110,49,40,0,0,0,0,5,1,1,2,61,54,3,1,0,0,2,0,0,1
50 years,98,45,39,2,0,0,0,3,0,0,1,53,47,1,0,0,0,5,0,0,0
51 years,126,53,46,1,0,0,0,5,0,1,0,73,66,2,0,0,0,4,0,0,1
52 years,95,53,50,0,0,0,0,2,0,0,1,42,42,0,0,0,0,0,0,0,0
53 years,102,52,44,0,0,0,0,6,0,1,1,50,47,0,0,0,0,3,0,0,0
54 years,116,59,54,0,0,0,0,2,0,0,3,57,51,0,0,0,0,6,0,0,0
55 years,112,53,48,1,0,0,0,3,0,1,0,59,56,0,0,0,0,3,0,0,0
56 years,98,53,52,0,0,0,0,1,0,0,0,45,41,1,0,0,0,3,0,0,0
57 years,107,44,43,0,0,0,0,1,0,0,0,63,59,0,0,0,0,2,0,2,0
58 years,104,57,54,1,0,0,0,2,0,0,0,47,43,1,0,0,0,3,0,0,0
59 years,110,56,55,0,0,0,0,1,0,0,0,54,51,0,0,0,0,2,0,0,1
60 years,113,51,48,0,0,0,0,3,0,0,0,62,53,1,0,0,0,5,0,1,2
61 years,105,52,48,1,0,0,0,2,0,0,1,53,52,0,0,0,0,1,0,0,0
62 years,82,40,39,0,0,0,0,0,0,0,1,42,38,0,0,0,0,4,0,0,0
63 years,82,33,32,0,0,0,0,1,0,0,0,49,44,0,0,0,0,5,0,0,0
64 years,83,40,37,0,0,0,0,3,0,0,0,43,43,0,0,0,0,0,0,0,0
65 years,73,45,41,0,0,0,0,4,0,0,0,28,26,0,0,0,0,2,0,0,0
66 years,65,29,29,0,0,0,0,0,0,0,0,36,34,0,0,0,0,2,0,0,0
67 years,65,32,29,0,0,0,0,2,0,0,1,33,31,0,0,0,0,2,0,0,0
68 years,80,36,35,0,0,0,0,1,0,0,0,44,41,0,0,0,0,2,0,0,1
69 years,58,35,33,0,0,0,0,2,0,0,0,23,22,0,0,0,0,1,0,0,0
70 years,61,30,30,0,0,0,0,0,0,0,0,31,28,0,0,0,0,3,0,0,0
71 years,56,25,25,0,0,0,0,0,0,0,0,31,27,1,0,0,0,2,0,0,1
72 years,73,32,30,0,0,0,0,2,0,0,0,41,40,0,0,0,0,1,0,0,0
73 years,36,16,16,0,0,0,0,0,0,0,0,20,18,1,0,0,0,1,0,0,0
74 years,39,14,12,0,0,0,0,2,0,0,0,25,23,0,0,0,0,2,0,0,0
75 years,48,18,17,0,0,0,0,1,0,0,0,30,30,0,0,0,0,0,0,0,0
76 years,33,19,17,1,0,0,0,1,0,0,0,14,14,0,0,0,0,0,0,0,0
77 years,38,20,18,0,0,0,0,2,0,0,0,18,18,0,0,0,0,0,0,0,0
78 years,27,15,13,0,0,0,0,2,0,0,0,12,11,0,0,0,0,1,0,0,0
79 years,27,14,14,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0
80 years,37,13,13,0,0,0,0,0,0,0,0,24,22,0,0,0,0,2,0,0,0
81 years,33,18,16,1,0,0,0,1,0,0,0,15,15,0,0,0,0,0,0,0,0
82 years,23,9,9,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0
83 years,18,7,7,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0
84 years,12,5,5,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0
85 years,20,12,11,0,0,0,0,1,0,0,0,8,7,0,0,0,0,1,0,0,0
86 Years (may be topcoded),21,9,7,1,0,0,0,0,0,0,1,12,12,0,0,0,0,0,0,0,0
87 Years (may be topcoded),12,4,4,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0,0,0
88 Years (may be topcoded),19,5,5,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0
89 Years (may be topcoded),16,5,4,0,0,0,0,1,0,0,0,11,10,0,0,0,0,1,0,0,0
90 Years (may be topcoded),8,3,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0
91 Years (may be topcoded),4,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
92 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94 Years (may be topcoded),17,5,5,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0
95 Years (may be topcoded),6,1,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0
96 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99 Years (may be topcoded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
