var13,offset_rank,flights_rank,solar_rank,ev_rank,pbd_rank,recs_rank,local_rank,bulbs_rank,fridge_rank,trees_rank,recycling_rank,pack_rank,ev_ee,ev_pnb,ev_ne,ev_intent,ev_program_interest,fly_ee,fly_pnb,fly_ne,fly_intent,fly_program_interest,offset_ee,offset_pnb,offset_ne,offset_intent,offset_program_interest,pbd_ee,pbd_pnb,pbd_ne,pbd_intent,pbd_program_interest,recs_ee,recs_pnb,recs_ne,recs_intent,recs_program_interest,solar_ee,solar_pnb,solar_ne,solar_intent,solar_program_interest,foodwaste_ee,foodwaste_pnb,foodwaste_ne,foodwaste_intent,foodwaste_program_interest
6069cf72-3411-9d2f-509b-96b35683314b,9,11,5,7,3,10,2,12,4,8,6,1,0.3,1,0.4,0.4,0,0.3,1,0.4,0.5,0,0.3,1,0.3,0.3,0,0.2,1,0.2,0.1,0,0.1,1,0,1,0,0.1,1,0.1,1,0,0.1,1,0.2,1,0
6069d09f-0c9c-feea-b3e9-dd5f00bd23a0,8,9,6,7,12,3,10,5,4,1,2,11,0.1,1,0.1,0.2,1,0.1,1,0,1,1,0,1,0,0.2,1,0.2,1,0.1,0.1,0.2,0.1,1,0.1,0.2,1,0.1,0,0.1,0,0.1,0.2,1,0.2,0.6,1
6069d0f6-d8c4-d76a-03a6-e213904a4286,1,4,2,5,12,6,11,10,7,8,3,9,0.2,0,0.5,0.6,1,0.2,0,0.5,0.8,1,0.1,1,0.6,0.7,0.9,0.4,0,0.5,0,0,0.3,1,0.5,0.6,1,0.1,1,0.4,0.4,1,0.5,1,0.8,0.8,1
6069d254-c594-0397-9df1-60af4d0b1eea,12,11,4,10,9,6,3,7,8,2,5,1,0.2,0,0.1,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0.2,0,0.2,0,0,0.2,1,0.1,0,0,0.2,0,0.2,0,0,0.2,1,0.2,0,0
6069d2d5-79fc-5025-3898-0c4f1ff66c0a,8,4,9,7,12,6,10,2,3,5,1,11,0.1,1,0.3,0.7,0.9,0.2,1,0.2,0.9,0.7,0.3,1,0.5,0.5,0.8,0.2,1,0.3,0.8,0.8,0.4,1,0.6,0.6,0.7,0.2,1,0.2,0.3,0.9,0.7,1,0.8,0.9,0.7
6069d318-8722-598c-61a0-dd2e97d41266,10,11,1,6,12,2,9,4,8,7,3,5,0.3,1,0.6,0.4,0.5,0.9,1,0.2,0.2,0.7,0,1,0.3,0,0,0.6,0,0.4,0,0,0.5,1,0.7,0,0.3,0.6,1,1,0,0,0.4,1,0.9,0.2,0
6069d6e3-1d48-64c7-1ecd-f20dd116802c,7,11,6,10,12,4,9,3,8,2,1,5,0.1,0,0.1,0.3,0.6,0,0,0,0,0,0.1,1,0.1,0,0,0.2,0,0.2,0,0,0.2,1,0.2,0.1,0.2,0.1,0,0.1,0,0,0.3,1,0.3,0.5,0.2
6069d8c7-6d03-becc-b663-5d67031737ea,5,9,4,7,12,3,1,8,6,11,2,10,0,0,0.1,0,0,0.4,1,0.5,1,0,0.1,1,0.2,0.2,0,0.5,1,0.6,0.3,0,0.3,1,0.4,0,0,0.4,0,0.5,0,0,0.6,1,0.7,0.3,0
6069d9b8-033b-cd73-bd22-f1e00e074a34,4,10,6,8,3,5,9,1,11,12,2,7,0.1,1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,1,0.2,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1
6069d991-fe28-4369-997b-5fb47c6f4fce,3,4,6,2,1,11,5,7,8,12,9,10,0,1,0.2,0.7,1,0.1,0,0.3,0.5,0.5,0.1,1,0.7,0.1,0.5,0.5,1,0.5,1,0.5,0.2,1,0.2,0.2,0.7,0,0,0.1,0,0.3,0.4,1,0.9,0.6,0.9
